State	 Location 	Latitude 	Longitude	PIN code		
Punjab	 Dujana 	28.68	76.67	124102		
Punjab	 Fazilka 	30.42	74.07			
Punjab	 Firozpur 	30.92	74.67			
Punjab	 Garshankar 	31.22	76.18			
Punjab	 Gurdaspur 	32.05	75.45	143505		
Punjab	 Hoshiarpur 	31.53	75.95	144105		
Punjab	 Jalandhar 	31.32	75.57	144001		
Punjab	 Jandiala 	31.85	75.62	141303		
Punjab	 Kandaghat 	30.95	77.10	173215		
Punjab	 Kapurthala 	31.38	75.42	141302		
Punjab	 Kartarpur 	31.45	75.53	144801		
Punjab	 Kot Kapura 	30.57	74.87			
Punjab	 Ludhiana 	30.92	75.90	140801		
Punjab	 Machhiwara 	30.92	76.25	141115		
Punjab	 Majitha 	31.77	75.02	143601		
Punjab	 Maler Kotla 	30.52	75.98			
Punjab	 Mohindergarh 	28.28	76.23	123029		
Punjab	 Muktsar 	30.50	74.72	152026		
Punjab	 Nabha 	30.42	76.15	144624		
Punjab	 Rupar 	30.95	76.53			
Punjab	 Sanawar 	30.30	76.05	173202		
Punjab	 Sangrur 	30.20	75.88	148001		
Punjab	 Tanda Urmar 	31.67	76.68			
Punjab	 Tarn Taran 	31.47	74.97			
Punjab	 Una 	31.53	76.30	174302		
Punjab	 Paiala 	30.03	76.42			
Punjab	 Pathankot 	32.28	75.70	145001		
Rajasthan	 Abu 	24.67	72.75	307501		
Rajasthan	 Ajmer 	26.45	74.70	305001		
Rajasthan	 Alwar 	27.57	76.63	301001		
Rajasthan	 Amet 	25.33	73.98			
Rajasthan	 Anupgarh 	29.12	73.10	335701		
Rajasthan	 Aravali Range 	25.00	73.17			
Rajasthan	 Asop 	26.80	73.73	342901		
Rajasthan	 Bakhasar 	24.72	71.15			
Rajasthan	 Balahera 	26.75	76.83			
Rajasthan	 Balotra 	25.82	72.35	344022		
Rajasthan	 Banas R° 	26.22	76.22			
Rajasthan	 Banswara 	23.50	74.40	327001		
Rajasthan	 Bap 	27.37	72.37	342307		
Rajasthan	 Baran 	25.08	76.55	301422		
Rajasthan	 Barmer 	25.75	71.42	343043		
Rajasthan	 Baswa 	27.10	76.53	303327		
Rajasthan	 Beawar 	26.10	74.35	305901		
Rajasthan	 Bedla 	25.33	73.75	313016		
Rajasthan	 Bhadra 	29.25	75.50			
Rajasthan	 Bhadrajan 	25.60	72.90			
Rajasthan	 Bharatpur 	27.25	77.50	321001		
Rajasthan	 Bhhainsror 	24.97	75.60			
Rajasthan	 Bhilwara 	25.35	74.67	305011		
Rajasthan	 Bhinmal 	25.00	72.32	343029		
Rajasthan	 Bikampur 	27.75	72.17			
Rajasthan	 Bikaner 	28.02	73.37	334001		
Rajasthan	 Birilpur 	28.18	72.25			
Rajasthan	 Bissau 	28.28	75.13	331027		
Rajasthan	 Bundi 	25.45	75.68	323001		
Rajasthan	 Chatsu 	26.60	75.98			
Rajasthan	 Chhabra 	24.67	76.90	325220		
Rajasthan	 Chhoti Sadri 	22.40	74.57	312604		
Rajasthan	 Chittaurgarh 	24.90	74.70			
Rajasthan	 Chomu 	27.12	75.78	303702		
Rajasthan	 Chotan 	25.47	71.10			
Rajasthan	 Churu 	28.32	75.02	331001		
Rajasthan	 Dag 	23.93	75.87	326514		
Rajasthan	 Deoli 	25.77	75.42	304804		
Rajasthan	 Deolia 	24.63	74.70			
Rajasthan	 Devikot 	26.63	71.12			
Rajasthan	 Dhebar L. 	24.50	74.00			
Rajasthan	 Dholpur 	26.70	77.88	328001		
Rajasthan	 Didwana 	27.28	74.42	303511		
Rajasthan	 Dig 	27.47	77.33			
Rajasthan	 Dungarpur 	23.83	73.83	314001		
Rajasthan	 Eklingji 	24.72	73.77			
Rajasthan	 Erinpura 	25.15	73.10			
Rajasthan	 Fatehpur (Jaipur) 	28.00	75.03			
Rajasthan	 Ganganagar 	29.82	73.83	335001		
Rajasthan	 Gangapur 	26.48	75.77	221302		
Rajasthan	 Gangrar 	23.93	75.68	312901		
Rajasthan	 Gogundra 	24.77	73.57			
Rajasthan	 Gotaru 	27.37	70.03			
Rajasthan	 Great Indian Desert 	27.00	71.00			
Rajasthan	 Gurha 	25.20	71.80			
